symbol,timestamp,last_price,ema_spread_pct,price_category,macd_histogram,market_session,squeeze_number_today,minutes_since_last_squeeze,window_volume_vs_1min_avg,distance_from_vwap_percent,day_gain,spy_percent_change_concurrent,spread_percent
ARTV,2025-12-15T10:31:57.942678-05:00,4.84,2.06611570247935,$2-5,0.0261,early,15,0.82,169.3,1.66,45.45454545454546,-0.29,1.0330578512396842
RADX,2025-12-15T10:31:00.413103-05:00,9.94,-2.7162977867203177,$5-10,,early,68,0.9,289.95,1.0,130.04694835680755,,1.9114688128772588
HYFM,2025-12-15T10:07:30.189111-05:00,2.31,0.0,$2-5,-0.0097,early,6,3.24,2.57,-0.35,11.990338164251218,-0.37,4.329004329004333
NTCL,2025-12-15T11:33:52.166109-05:00,0.9799,0.0,<$2,-0.0046,mid_day,22,0.52,34.37,6.55,37.90586833482275,0.01,3.051331768547815
RYM,2025-12-15T11:16:55.520505-05:00,25.7,0.03891050583658196,$20-40,-0.1385,mid_day,4,3.23,4.82,1.9,12.06896551724138,-0.37,3.346303501945537
NTCL,2025-12-15T12:30:29.319480-05:00,0.8691,0.0,<$2,0.0002,mid_day,40,1.29,3.05,-0.33,26.80965147453084,-0.11,3.2677482453112394
RADX,2025-12-15T08:23:51.908613-05:00,18.83,1.0090281465746123,$10-20,-0.004,extended,2,0.5,573.77,26.01,247.3990610328639,,0.21242697822623965
AMCI,2025-12-15T10:48:16.121348-05:00,7.48,1.4705882352941217,$5-10,-0.0286,early,72,0.98,560.39,1.24,151.35135135135135,-0.46,0.40106951871658086
MASK,2025-12-15T09:55:24.176341-05:00,0.5473,0.0,<$2,-0.0051,early,3,2.97,625.05,1.18,76.58796142334552,-0.09,0.49333089713137873
RADX,2025-12-15T08:23:21.686227-05:00,18.32,1.0371179039301281,$10-20,-0.004,extended,1,,140.0,22.59,,,1.091703056768555
AMCI,2025-12-15T09:39:56.846706-05:00,3.82,3.141361256544505,$2-5,0.0272,early,16,2.26,574.82,-2.91,32.24324324324325,-0.16,0.26178010471203633
GLSI,2025-12-15T10:15:59.481526-05:00,12.08,-1.4072847682119198,$10-20,0.0219,early,26,3.14,49.19,2.06,10.066169617893754,-0.54,1.1589403973509982
AMCI,2025-12-15T11:11:32.149351-05:00,6.82,-2.63929618768328,$5-10,0.0086,mid_day,90,0.58,596.39,4.07,124.95945945945948,-0.48,1.1730205278592385
AMCI,2025-12-15T10:48:51.621807-05:00,7.71,1.4267185473411195,$5-10,-0.0286,early,73,0.59,601.13,4.35,146.95945945945945,-0.44,0.7782101167315124
RADX,2025-12-15T10:51:22.663194-05:00,10.9896,0.5459707359685405,$10-20,0.1558,early,82,0.66,181.48,3.97,160.3286384976526,,0.4549756133071332
MASK,2025-12-15T11:36:34.596199-05:00,0.4998,0.0,<$2,-0.0028,mid_day,37,14.31,247.75,-5.74,74.8586631193881,-0.38,0.10004001600640265
RADX,2025-12-15T09:12:33.649639-05:00,14.42,-0.13869625520110662,$10-20,0.0062,extended,29,10.19,404.01,2.35,230.98591549295776,,0.6934812760055453
MASK,2025-12-15T10:57:00.370020-05:00,0.5283,0.0,<$2,-0.0,early,28,13.29,107.94,2.28,70.86797472564017,-0.35,0.9653605905735366
CLYM,2025-12-15T12:20:28.552617-05:00,4.3906,1.594315127772976,$2-5,0.0227,mid_day,9,4.04,317.34,1.39,46.45836136149603,-0.64,0.22775930396758243
KYTX,2025-12-15T10:54:56.343181-05:00,11.0871,-1.8940931352653,$10-20,-0.0942,early,47,3.1,34.62,3.5,23.342824601366747,-0.51,0.180389822406216
RADX,2025-12-15T08:30:16.196655-05:00,16.15,1.7956656346749282,$10-20,0.0313,extended,11,0.59,291.87,0.95,271.36150234741785,,0.4334365325077417
BDRX,2025-12-15T12:39:32.586192-05:00,5.73,-1.3961605584642245,$5-10,0.0135,mid_day,35,36.16,14.52,4.1,16.421052631578952,-0.56,1.570680628272264
ARTV,2025-12-15T11:19:15.811874-05:00,5.47,1.6453382084095203,$5-10,-0.0105,mid_day,33,5.04,121.47,1.93,62.12424242424244,-0.04,0.7312614259597813
YCBD,2025-12-15T10:53:20.251405-05:00,1.585,-0.6309148264984233,<$2,-0.0035,early,31,17.07,111.63,1.93,36.40350877192983,-0.6,0.6309148264984233
RADX,2025-12-15T12:05:36.357480-05:00,11.81,1.862828111769692,$10-20,0.0978,mid_day,117,0.62,199.6,3.32,171.09624413145542,,1.2701100762066075
GLSI,2025-12-15T09:48:50.792762-05:00,12.8413,-1.7910959170800496,$10-20,-0.0622,early,22,1.28,1.19,2.75,16.96178937558248,-0.18,2.7255807433826766
KYTX,2025-12-15T09:34:12.244689-05:00,11.4899,-0.7832966344354594,$10-20,-0.1134,early,25,0.73,315.82,-0.26,29.46013667425969,-0.08,0.957362553198907
RADX,2025-12-15T12:10:44.937736-05:00,11.8099,3.302314160153774,$10-20,0.1036,mid_day,123,0.8,135.14,2.05,171.59624413145542,,1.3547955528835987
RADX,2025-12-15T08:50:12.568246-05:00,14.19,-2.18463706835799,$10-20,-0.0932,extended,22,3.38,192.36,2.1,224.1784037558686,,0.775193798449621
MASK,2025-12-15T09:57:42.348093-05:00,0.5732,1.7445917655268681,<$2,-0.0025,early,6,1.11,396.77,0.46,89.45793149318256,-0.15,0.8897418004187008
FEBO,2025-12-15T10:18:29.716633-05:00,1.0336,,<$2,,early,10,0.53,60.19,3.71,12.790697674418603,-0.1,3.869969040247681
RADX,2025-12-15T10:21:49.390873-05:00,10.7399,-0.5586644195942115,$10-20,,early,65,1.84,189.99,-4.43,161.97887323943664,,0.7448858927922986
RADX,2025-12-15T08:38:46.322879-05:00,14.44,-0.6925207756232663,$10-20,-0.174,extended,17,2.79,140.35,-2.16,244.13145539906105,,0.9002770083102548
FEBO,2025-12-15T10:16:51.701755-05:00,1.02,,<$2,,early,8,1.36,155.34,-7.66,25.581395348837223,-0.05,0.980392156862746
NTCL,2025-12-15T11:57:53.270981-05:00,0.87,-2.2988505747126458,<$2,-0.0062,mid_day,34,6.75,35.47,-1.63,29.728924635090852,-0.12,1.1724137931034466
