symbol,timestamp,signal,confidence,entry_price,breakout_type,breakout_percentage,volume_ratio,priority,orb_high,orb_low,orb_range,recommended_stop_loss,recommended_take_profit,status,alert_file,alert_type,return_pct,exit_price
MLGO,2025-07-10 10:44:00,SELL,0.8614398793388438,0.7699,bearish_breakdown,4.3483662566778385,3.7789881977142143,HIGH,0.8659,0.8049,0.061000000000000054,0.8276425,0.739104,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/MLGO_20250710_104400.json,bearish,4.000000000000005,0.8006960000000001
MLGO,2025-07-10 10:44:00,SELL,0.8614398793388438,0.7699,bearish_breakdown,4.3483662566778385,3.7789881977142143,HIGH,0.8659,0.8049,0.061000000000000054,0.8276425,0.739104,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_MLGO_20250710_104400.json,bearish,4.000000000000005,0.8006960000000001
SAFX,2025-07-10 10:51:00,SELL,0.8357769276932729,2.475,bearish_breakdown,10.163339382940102,1.7921597923957064,MEDIUM,3.555,2.755,0.8000000000000003,2.660625,2.376,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/SAFX_20250710_105100.json,bearish,4.000000000000008,2.5740000000000003
STKH,2025-07-10 10:51:00,BUY,0.8890454433465078,3.5,bullish_breakout,25.899280575539578,1.6996554752415052,MEDIUM,2.78,2.4,0.3799999999999999,3.2375000000000003,3.64,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bullish/alert_STKH_20250710_105100.json,bullish,-4.0000000000000036,3.36
SAFX,2025-07-10 10:51:00,SELL,0.8357769276932729,2.475,bearish_breakdown,10.163339382940102,1.7921597923957064,MEDIUM,3.555,2.755,0.8000000000000003,2.660625,2.376,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_SAFX_20250710_105100.json,bearish,4.000000000000008,2.5740000000000003
STKH,2025-07-10 10:51:00,BUY,0.8890454433465078,3.5,bullish_breakout,25.899280575539578,1.6996554752415052,MEDIUM,2.78,2.4,0.3799999999999999,3.2375000000000003,3.64,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bullish/STKH_20250710_105100.json,bullish,-4.0000000000000036,3.36
SAFX,2025-07-10 10:55:00,SELL,0.8703897550985444,2.345,bearish_breakdown,14.882032667876576,2.668371886120996,HIGH,3.555,2.755,0.8000000000000003,2.520875,2.2512000000000003,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_SAFX_20250710_105500.json,bearish,3.9999999999999947,2.4388
SAFX,2025-07-10 10:55:00,SELL,0.8703897550985444,2.345,bearish_breakdown,14.882032667876576,2.668371886120996,HIGH,3.555,2.755,0.8000000000000003,2.520875,2.2512000000000003,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/SAFX_20250710_105500.json,bearish,3.9999999999999947,2.4388
MLGO,2025-07-10 10:56:00,SELL,0.7958902268042527,0.7851,bearish_breakdown,2.4599329109206027,1.9161961991067171,MEDIUM,0.8659,0.8049,0.061000000000000054,0.8439825,0.753696,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/MLGO_20250710_105600.json,bearish,3.9999999999999982,0.816504
MLGO,2025-07-10 10:56:00,SELL,0.7958902268042527,0.7851,bearish_breakdown,2.4599329109206027,1.9161961991067171,MEDIUM,0.8659,0.8049,0.061000000000000054,0.8439825,0.753696,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_MLGO_20250710_105600.json,bearish,3.9999999999999982,0.816504
CGTX,2025-07-10 11:00:00,SELL,0.8450973858692148,0.7038,bearish_breakdown,12.25532975938163,2.2119284422629812,MEDIUM,1.04,0.8021,0.2379,0.756585,0.6756479999999999,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/CGTX_20250710_110000.json,bearish,-7.499999999999996,0.651015
CGTX,2025-07-10 11:00:00,SELL,0.8450973858692148,0.7038,bearish_breakdown,12.25532975938163,2.2119284422629812,MEDIUM,1.04,0.8021,0.2379,0.756585,0.6756479999999999,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_CGTX_20250710_110000.json,bearish,-7.499999999999996,0.651015
BTCM,2025-07-10 11:02:00,SELL,0.8526297009876773,5.43,bearish_breakdown,19.436201780415438,2.510314350966448,HIGH,7.98,6.74,1.2400000000000002,5.837249999999999,5.2128,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_BTCM_20250710_110200.json,bearish,-7.49999999999999,5.02275
BTCM,2025-07-10 11:02:00,SELL,0.8526297009876773,5.43,bearish_breakdown,19.436201780415438,2.510314350966448,HIGH,7.98,6.74,1.2400000000000002,5.837249999999999,5.2128,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/BTCM_20250710_110200.json,bearish,-7.49999999999999,5.02275
MLGO,2025-07-10 11:02:00,SELL,0.7564999608261487,0.7901,bearish_breakdown,1.8387377313951951,1.9340754878454653,MEDIUM,0.8659,0.8049,0.061000000000000054,0.8493575,0.758496,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_MLGO_20250710_110200.json,bearish,4.00000000000001,0.8217040000000001
MLGO,2025-07-10 11:02:00,SELL,0.7564999608261487,0.7901,bearish_breakdown,1.8387377313951951,1.9340754878454653,MEDIUM,0.8659,0.8049,0.061000000000000054,0.8493575,0.758496,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/MLGO_20250710_110200.json,bearish,4.00000000000001,0.8217040000000001
CGTX,2025-07-10 11:05:00,SELL,0.8453108382588294,0.7005,bearish_breakdown,12.666749781822716,2.2816474353575336,MEDIUM,1.04,0.8021,0.2379,0.7530375,0.67248,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/CGTX_20250710_110500.json,bearish,-7.500000000000003,0.6479625
CGTX,2025-07-10 11:05:00,SELL,0.8453108382588294,0.7005,bearish_breakdown,12.666749781822716,2.2816474353575336,MEDIUM,1.04,0.8021,0.2379,0.7530375,0.67248,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_CGTX_20250710_110500.json,bearish,-7.500000000000003,0.6479625
BTCM,2025-07-10 11:06:00,SELL,0.865890081906791,4.955,bearish_breakdown,26.483679525222552,2.3860625690955994,HIGH,7.98,6.74,1.2400000000000002,5.326625,4.7568,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/BTCM_20250710_110600.json,bearish,-7.499999999999997,4.583375
BTCM,2025-07-10 11:06:00,SELL,0.865890081906791,4.955,bearish_breakdown,26.483679525222552,2.3860625690955994,HIGH,7.98,6.74,1.2400000000000002,5.326625,4.7568,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_BTCM_20250710_110600.json,bearish,-7.499999999999997,4.583375
BTCM,2025-07-10 11:07:00,SELL,0.8571698575167339,5.07,bearish_breakdown,24.777448071216615,2.1316255721246122,HIGH,7.98,6.74,1.2400000000000002,5.4502500000000005,4.8672,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/BTCM_20250710_110700.json,bearish,-7.5000000000000036,4.68975
BTCM,2025-07-10 11:07:00,SELL,0.8571698575167339,5.07,bearish_breakdown,24.777448071216615,2.1316255721246122,HIGH,7.98,6.74,1.2400000000000002,5.4502500000000005,4.8672,FAILURE,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_BTCM_20250710_110700.json,bearish,-7.5000000000000036,4.68975
STKH,2025-07-10 11:11:00,BUY,0.8809940969109731,2.905,bullish_breakout,4.496402877697842,1.6503854189179454,MEDIUM,2.78,2.4,0.3799999999999999,2.687125,3.0212,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bullish/alert_STKH_20250710_111100.json,bullish,4.000000000000003,3.0212
STKH,2025-07-10 11:11:00,BUY,0.8809940969109731,2.905,bullish_breakout,4.496402877697842,1.6503854189179454,MEDIUM,2.78,2.4,0.3799999999999999,2.687125,3.0212,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bullish/STKH_20250710_111100.json,bullish,4.000000000000003,3.0212
CGTX,2025-07-10 11:18:00,SELL,0.839279946788046,0.715,bearish_breakdown,10.85899513776338,1.6423187699714847,MEDIUM,1.04,0.8021,0.2379,0.7686249999999999,0.6863999999999999,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/alerts/bearish/CGTX_20250710_111800.json,bearish,2.0839160839160877,0.7299
CGTX,2025-07-10 11:18:00,SELL,0.839279946788046,0.715,bearish_breakdown,10.85899513776338,1.6423187699714847,MEDIUM,1.04,0.8021,0.2379,0.7686249999999999,0.6863999999999999,SUCCESS,/home/wilsonb/dl/github.com/z223i/alpaca/historical_data/2025-07-10/alerts/bearish/alert_CGTX_20250710_111800.json,bearish,2.0839160839160877,0.7299
