Symbol,Signal,Long Delta,Resistance,Major Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
HWH,2.49,0.95,3.44,0.0,,2.525,75.35%,55.2M,1.5M,16.4M
UUU,6.05,-0.11,7.51,0.0,,5.765,74.7%,31.4M,1.8M,13.3M
SHFS,3.93,0.92,4.85,0.0,,3.54,47.19%,30.6M,1.4M,10.4M
SSKN,3.87,1.16,5.03,0.0,,3.29,38.24%,29.4M,2.5M,13.7M
NUKK,6.00,1.45,7.45,0.0,,6.60,35.52%,12.5M,5.0M,46.6M
MNKD,6.21,0.52,6.73,0.0,,5.94,29.41%,9.3M,298.5M,1.8B
GCTK,5.89,3.93,9.82,0.0,,5.2519,25.12%,6.5M,783.3K,4.7M
TIXT,4.49,-0.07,4.55,0.0,,4.465,15.08%,7.1M,240.5M,1.2B
UVIX,13.75,0.57,14.32,0.0,,13.33,10.07%,8.1M,47.3M,630.7M
HOTH,1.33,0.11,1.44,0.0,,1.271,9.57%,10.9M,12.3M,16.9M
UVXY,13.29,-0.29,13.32,0.0,,12.935,7.26%,7.4M,57.2M,739.9M
SOXS,7.79,-0.09,7.89,0.0,,7.605,6.51%,40.2M,197.6M,1.5B
