Symbol,Signal,POC,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
PEPG,6.16,5.79,1.65,7.81,,5.76,116.54%,57.4M,10.5M,188.9M
SPRC,6.16,4.77,1.77,7.93,,5.7556,50.38%,20.3M,515.8K,3.1M
PSTV,0.63,0.49,0.06,0.69,,0.5714,41.37%,152.4M,93.3M,56.7M
EVAX,4.32,3.84,0.49,4.81,,4.1173,24.77%,35.0M,5.9M,26.0M
OFAL,1.69,2.08,1.07,2.76,,1.5901,19.56%,9.1M,10.6M,22.1M
LAC,7.09,5.23,-0.01,7.08,,6.9915,16.33%,36.5M,239.0M,1.7B
ATCH,0.82,0.51,0.04,0.86,,0.7454,11.26%,48.1M,13.8M,11.6M
IONZ,4.05,3.90,0.11,4.16,,3.9895,8.71%,15.2M,14.6M,58.0M
TSLQ,8.70,8.23,0.06,8.76,,8.77,7.21%,11.9M,53.1M,465.5M
TSLZ,0.79,0.77,0.01,0.80,,0.783,7.14%,13.2M,61.2M,47.9M
SOXS,5.62,5.44,-0.03,5.59,,5.6088,6.23%,20.5M,266.3M,1.5B
