Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
RYOJ,5.36,0.42,5.78,0.0%,4.655,114.52%,15.5M,2.2M,52.4M
VIVK,0.53,0.03,0.56,12.45%,0.5947,101.0%,145.4M,22.5M,28.5M
LGCB,3.11,-0.11,3.00,0.0%,2.77,67.38%,39.4M,2.1M,9.9M
MIRA,2.35,0.28,2.63,0.0%,2.17,65.0%,54.3M,16.2M,41.5M
PSNYW,0.37,-0.03,0.34,0.0%,0.3366,63.63%,21.8M,363.0M,704.1M
WHWK,3.51,0.11,3.62,0.0%,3.1191,48.81%,35.8M,23.6M,147.3M
SCNN,1.13,-0.02,1.11,0.0%,1.03,43.12%,56.6M,8.1M,16.5M
SOND,1.35,0.07,1.42,0.0%,1.23,33.68%,14.8M,12.1M,16.4M
LOBO,1.18,0.01,1.19,0.85%,1.1857,27.42%,12.7M,3.8M,10.2M
CYCU,0.35,0.01,0.36,0.0%,0.3076,17.81%,21.3M,43.8M,15.8M
ADAP,0.23,0.00,0.23,0.0%,0.2159,17.27%,75.3M,203.6M,57.2M
BURU,0.41,0.00,0.41,0.0%,0.3888,15.58%,96.4M,79.2M,31.1M
SBFM,2.31,0.08,2.39,0.0%,2.1676,12.31%,20.5M,4.5M,9.9M
BIAF,3.02,0.03,3.05,1.66%,3.00,10.35%,13.9M,1.1M,4.0M
AUUD,2.31,,2.35,,2.23,8.78%,31.7M,1.1M,2.6M
