Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mk. Cap.
CMBM,2.45,0.15,2.60,2.60,2.44,-294.82%,217.5 M,12.1 M,68.9 M
PPBT,1.19,0.15,1.34,,1.0899,-86.62%,158.1 M,2.4 M,2.9 M
ERNA,2.34,-0.02,2.32,,2.0766,-65.6%,58.7 M,2.1 M,15.9 M
VSEE,1.47,0.44,1.91,,1.49,-41.51%,42.0 M,6.9 M,25.5 M
FGL,0.71,-0.02,0.69,,0.6226,-38.36%,108.1 M,5.0 M,12.1 M
TLIH,0.55,0.01,0.56,,0.5226,-24.25%,31.7 M,5.8 M,15.5 M
PFSA,0.39,0.03,0.42,,0.3483,-20.34%,108.5 M,13.7 M,11.4 M
MSAI,1.09,0.06,1.15,,1.00,-18.17%,10.6 M,30.6 M,34.6 M
JAMF,12.89,0.55,13.44,,12.86,-15.34%,8.9 M,70.0 M,1.7 B
GNTA,2.83,0.14,2.97,,2.7498,-14.57%,9.0 M,11.5 M,52.6 M
FUBO,4.41,0.18,4.59,,4.17,-14.42%,19.4 M,324.3 M,1.4 B
XXII,1.81,0.04,1.85,,1.70,-12.58%,9.6 M,2.9 M,6.2 M
SOXL,50.19,1.02,51.21,,49.48,-6.49%,11.8 M,303.6 M,15.2 B
