Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
IVVD,,3.55,,2.83,93.6%,23.3 M,87.0 M,658.6 M
XPON,,1.70,,1.65,29.92%,7.6 M,3.4 M,5.7 M
ASBP,,0.15,,0.1377,29.85%,62.7 M,36.7 M,6.8 M
BCG,,2.35,,1.79,25.61%,4.5 M,3.4 M,29.7 M
MLSS,,0.50,,0.4501,18.83%,4.6 M,68.7 M,35.4 M
APLT,,0.46,,0.3175,18.7%,2.9 M,141.7 M,46.2 M
AKAN,,1.57,,1.50,16.28%,2.5 M,721.0 K,1.1 M
IONZ,,6.50,,6.45,13.93%,4.5 M,7.9 M,50.8 M
MSTZ,,12.67,,11.915,12.72%,2.9 M,13.1 M,156.2 M
SOXS,,4.16,,4.18,9.14%,14.9 M,314.8 M,1.3 B
