Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt.Cap.
GLSI,,,17.32,,16.26,51.54%,807.5 K,6.7 M,225.3 M
AMCI,,,4.25,,4.07,50.18%,4.4 M,3.9 M,15.7 M
OCG,,,2.51,,0.3185,44.82%,33.3 M,25.3 M,14.1 M
BDRX,,,6.23,,6.03,26.93%,2.4 M,613.3 K,3.7 M
KVTX,,,11.11,,10.55,20.16%,1.4 M,24.7 M,462.0 M
YCBD,,,1.42,,1.38,15.0%,12.1 M,8.7 M,12.3 M
ARTV,,,3.80,,3.72,12.73%,38.8 K,6.5 M,91.3 M
HYFT,,,2.00,,1.97,11.3%,33.0 K,45.7 M,90.9 M
ARBB,,,8.38,,8.02,10.77%,95.0 K,960.3 K,14.2 M
CRON,,,3.58,,3.54,8.26%,88.3 K,220.6 M,1.4 B
