Symbol,Signal,Long Delta,Resistance,Max,Last,%Chg,Volume,Float,Mkt Cap
ATNF,8.11,6.45,14.56,,7.5786,-29.17%,8.3M,3.7M,45.7M
SNOA,5.94,2.48,8.42,,6.25,104.78%,46.8M,1.6M,10.3M
XOS,4.49,1.97,6.46,,4.62,32.38%,8.5M,6.6M,38.7M
SBET,22.40,1.62,24.02,,22.49,-4.38%,8.1M,55.6M,1.4B
XPON,3.97,1.39,5.36,,3.479,165.57%,152.3M,3.3M,11.8M
LUNR,9.31,1.30,10.61,,9.345,-10.92%,7.0M,167.7M,1.7B
WULF,7.22,1.21,8.43,,7.185,31.59%,71.8M,321.2M,2.8B
BMRA,4.44,1.03,5.47,,5.745,23.6%,24.4M,2.2M,9.5M
MSTU,7.06,0.55,7.61,,7.045,-5.18%,8.6M,170.9M,1.2B
EQX,7.60,0.33,7.93,,7.54,11.05%,6.1M,455.7M,3.4B
TRIB,2.18,0.32,2.50,,1.7899,77.17%,29.6M,16.9M,33.3M
AERT,1.20,0.18,1.38,,1.21,72.86%,61.3M,9.8M,57.1M
ETHD,3.74,0.09,3.83,,3.635,6.91%,14.0M,9.0M,32.8M
IVP,1.12,0.06,1.18,,1.0476,28.7%,21.2M,2.1M,2.2M
MSTZ,4.27,-0.02,4.44,,4.175,5.96%,5.6M,30.1M,125.6M
