symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
CDT,CDT Equity,133022,2.31,47472,-7.22891566265061,109660.32,0.1199,2025-11-13T00:00:00-05:00,,62452.4,0.23996,False,
ZNB,Zeta Network Group,150913,1.04,449957,-5.45454545454546,467955.28,0.1,2025-11-13T00:00:00-05:00,,509952,0.084,False,
ATMCU,AlphaTime Acquisition Corp Unit,155778,11.31,4104,-8.42105263157894,46416.24,0,2025-11-13T00:00:00-05:00,,1248.2,0,False,
ATMC,AlphaTime Acquisition,155778,12.45,0,0,0,0,2025-11-12T00:00:00-05:00,,0,0,False,
BGMS,Bio Green Med Solution,172447,1.34,76492,-6.94444444444444,102499.28,0.2199,2025-11-13T00:00:00-05:00,,111154.6,0.17216,False,
BGMSP,"Bio Green Med Solution, Inc. 6% Convertible Preferred Stock",172447,6,101,4.8951048951049,606,0,2025-11-12T00:00:00-05:00,,218,0.116,False,
GLXG,Galaxy Payroll Group,194982,3.995,58480,1.65394402035623,233627.6,0.7499,2025-11-13T00:00:00-05:00,,14336.2,0.28796,False,
RAYA,Erayak Power Solution Group,207497,3.98,11923,-1.73082146119848,47453.54,0.4463,2025-11-13T00:00:00-05:00,,14714.8,0.30366,False,
BON,Bon Natural Life,217703,1.88,24433,-1.57068062827225,45934.04,0.13,2025-11-13T00:00:00-05:00,,45049.8,0.12598,False,
KITT,"Nauticus Robotics, Inc. Common stock",240827,1.43,585871,-5.29801324503312,837795.53,0.135,2025-11-13T00:00:00-05:00,,589446.8,0.133,False,
OP,OceanPal,249803,1.28,64742,-10.4895104895105,82869.76,0.1549,2025-11-13T00:00:00-05:00,,108464.6,0.10466,False,
AEMD,Aethlon Medical,258372,4.74,50376,12.8571428571429,238782.24,0.75,2025-11-13T00:00:00-05:00,,40992.4,0.35226,False,
BBOT,BridgeBio Oncology Therapeutics,267186,12.38,54334,-1.97941409342835,672654.92,0.85,2025-11-13T00:00:00-05:00,,105828.4,0.86908,False,
ENVB,Enveric Biosciences,269196,5.46,22455,-8.69565217391305,122604.3,0.5151,2025-11-13T00:00:00-05:00,,29312.2,0.46748,False,
CJET,Chijet Motor Company,273730,2.9,2010765,27.7533039647577,5831218.5,1.13,2025-11-13T00:00:00-05:00,,474408,0.38082,False,
YYAI,AiRWA,287686,1.21,2165106,-7.63358778625955,2619778.26,0.17,2025-11-13T00:00:00-05:00,,2062062.2,0.17598,False,
