symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
ADTX,Aditxt,44032,6.26,38964,5.92216582064297,243914.64,0.8199,2025-11-12T00:00:00-05:00,,49648,0.60486,False,
USARW,"USA Rare Earth, Inc. Warrant",72733,5.63,294769,-11.8935837245696,1659549.47,1.99,2025-11-12T00:00:00-05:00,,463081.4,1.73,False,
GDHG,Golden Heaven Group Holdings,89436,4.35,53011,1.87353629976581,230597.85,0.25,2025-11-12T00:00:00-05:00,,15603,0.245,False,
WOK,WORK Medical Technology Group LTD,128311,4.4398,42276,8.55256723716382,187696.9848,0.380000000000001,2025-11-12T00:00:00-05:00,,39986.4,0.34738,False,
GLXG,Galaxy Payroll Group,194982,3.93,691,-4.37956204379562,2715.63,0,2025-11-12T00:00:00-05:00,,2785.8,0.14598,False,
RAYA,Erayak Power Solution Group,207497,4.0501,12009,0.249999999999989,48637.6509,0.0999999999999996,2025-11-12T00:00:00-05:00,,15601,0.27206,False,
AEMD,Aethlon Medical,258372,4.2,54218,-3.2258064516129,227715.6,0.1514,2025-11-12T00:00:00-05:00,,36654,0.24626,False,
ENVB,Enveric Biosciences,269196,5.98,20144,0.673400673400674,120461.12,0.2585,2025-11-12T00:00:00-05:00,,51459,0.63046,False,
ETHZ,ETHZilla,338190,17.01,456801,0.889679715302504,7770185.01,1.3,2025-11-12T00:00:00-05:00,,632775,1.468,False,
CHSN,Chanson International Holding,386915,2.26,3953,-3.00429184549357,8933.78,0.17,2025-11-12T00:00:00-05:00,,12522.6,0.19204,False,
IPW,iPower,413774,9.86,36403,-1.70471538231484,358933.58,0.729999999999999,2025-11-12T00:00:00-05:00,,50856.8,1.87256,False,
TWG,Top Wealth Group Holding,435581,5.61,5779,2.00000000000001,32420.19,0.59,2025-11-12T00:00:00-05:00,,12291,0.40998,False,
WAI,Top KingWin,457212,3.05,15739,0,48003.95,0.02,2025-11-12T00:00:00-05:00,,22048.2,0.18498,False,
HIND,Vyome Holdings,480057,5.32,9246,0.188323917137489,49188.72,0.1588,2025-11-12T00:00:00-05:00,,20832.8,0.29576,False,
CNSP,CNS Pharmaceuticals,493777,6.59,6667,-2.08023774145617,43935.53,0.2813,2025-11-12T00:00:00-05:00,,32515.2,0.44466,False,
DRMA,Dermata Therapeutics,498470,3.12,29159,-2.803738317757,90976.08,0.1949,2025-11-12T00:00:00-05:00,,37042,0.2148,False,
EMPG,Empro Group Inc. Ordinary shares,527760,17.36,0,0,0,0,2025-11-12T00:00:00-05:00,,0,0,False,
APLM,Apollomics,542075,16.52,8796,7.90333115610711,145309.92,1.81,2025-11-12T00:00:00-05:00,,19686.4,1.8699,False,
ACON,Aclarion,582342,6.895,14879,-3.43137254901961,102590.705,0.680000000000001,2025-11-12T00:00:00-05:00,,14167,0.26442,False,
MDRR,Medalist Diversified REIT,586360,13.49,9668,7.92,130421.32,0.699999999999999,2025-11-12T00:00:00-05:00,,2243.8,0.38842,False,
DFSC,DEFSEC Technologies,596670,3.24,60847,-1.21951219512194,197144.28,0.215,2025-11-12T00:00:00-05:00,,57749,0.25068,False,
IOTR,iOThree,602616,3.13,20947,-3.09597523219815,65564.11,0.254,2025-11-12T00:00:00-05:00,,445958.6,0.33858,False,
FLGC,Flora Growth,613514,8.41,7452,-1.29107981220657,62671.32,0.8149,2025-11-12T00:00:00-05:00,,13486.8,1.13488,False,
