timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-14 09:30:00,MGRM,5.61,5.4,5.61,461,5.525,7
2025-07-14 09:31:00,MGRM,5.47,5.32,5.32,325,5.395,7
2025-07-14 09:32:00,MGRM,5.35,5.35,5.35,100,5.35,1
2025-07-14 09:33:00,MGRM,5.28,5.28,5.28,233,5.28,4
2025-07-14 09:34:00,MGRM,5.34,5.26,5.34,1067,5.303,11
2025-07-14 09:35:00,MGRM,5.375,5.375,5.375,600,5.375,6
2025-07-14 09:37:00,MGRM,5.33,5.325,5.325,934,5.325625,7
2025-07-14 09:38:00,MGRM,5.385,5.325,5.385,594,5.355,10
2025-07-14 09:39:00,MGRM,5.42,5.4,5.42,428,5.406667,6
2025-07-14 09:40:00,MGRM,5.31,5.27,5.27,472,5.283889,5
2025-07-14 09:41:00,MGRM,5.27,5.27,5.27,165,5.27,4
2025-07-14 09:42:00,MGRM,5.25,5.24,5.25,759,5.2475,13
2025-07-14 09:47:00,MGRM,5.33,5.33,5.33,152,5.33,2
2025-07-14 09:48:00,MGRM,5.355,5.355,5.355,236,5.355,6
2025-07-14 09:49:00,MGRM,5.35,5.34,5.35,300,5.345,4
2025-07-14 09:55:00,MGRM,5.25,5.24,5.24,300,5.243333,3
2025-07-14 09:56:00,MGRM,5.24,5.24,5.24,100,5.24,1
2025-07-14 09:57:00,MGRM,5.24,5.24,5.24,100,5.24,1
2025-07-14 09:58:00,MGRM,5.32,5.32,5.32,100,5.32,1
2025-07-14 09:59:00,MGRM,5.33,5.33,5.33,237,5.33,4
2025-07-14 10:00:00,MGRM,5.37,5.37,5.37,195,5.37,2
2025-07-14 10:01:00,MGRM,5.4,5.4,5.4,100,5.4,1
2025-07-14 10:04:00,MGRM,5.4,5.355,5.4,500,5.37,7
2025-07-14 10:05:00,MGRM,5.64,5.5,5.56,502,5.57,5
2025-07-14 10:06:00,MGRM,5.7,5.66,5.66,1804,5.681664,28
2025-07-14 10:07:00,MGRM,5.77,5.75,5.75,1324,5.753,10
2025-07-14 10:08:00,MGRM,5.8,5.74,5.8,902,5.788889,10
2025-07-14 10:09:00,MGRM,5.8,5.8,5.8,698,5.8,5
2025-07-14 10:10:00,MGRM,5.89,5.8,5.89,433,5.8275,5
2025-07-14 10:11:00,MGRM,5.96,5.91,5.94,1398,5.945,19
2025-07-14 10:12:00,MGRM,5.88,5.88,5.88,200,5.88,2
2025-07-14 10:13:00,MGRM,5.86,5.75,5.75,1049,5.8258,17
2025-07-14 10:14:00,MGRM,5.81,5.74,5.81,319,5.775,5
2025-07-14 10:15:00,MGRM,5.94,5.85,5.85,942,5.906,15
2025-07-14 10:16:00,MGRM,5.89,5.83,5.84,1063,5.86,14
2025-07-14 10:17:00,MGRM,5.845,5.72,5.72,400,5.78125,3
2025-07-14 10:19:00,MGRM,5.66,5.57,5.59,861,5.615714,10
2025-07-14 10:20:00,MGRM,5.605,5.605,5.605,100,5.605,1
