trade_id,symbol,date,entry_time,entry_price,exit_time,exit_price,exit_reason,profit_pct,profit_abs,hold_time_minutes,timeframe_minutes,green_threshold,take_profit_pct,trailing_stop_pct,json_file
1,VERB,2025-08-04,2025-08-04 12:51:00,21.09,2025-08-04 13:02:00-04:00,23.63,take_profit,12.043622569938355,2.539999999999999,11.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205929.json
2,VERB,2025-08-04,2025-08-04 13:02:00,23.63,2025-08-04 13:12:00-04:00,27.53,take_profit,16.504443504020323,3.900000000000002,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205936.json
3,VERB,2025-08-04,2025-08-04 12:57:00,22.25,2025-08-04 13:06:00-04:00,24.87,take_profit,11.775280898876408,2.620000000000001,9.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205933.json
4,VERB,2025-08-04,2025-08-04 12:50:00,20.67,2025-08-04 12:53:00-04:00,22.93,take_profit,10.933720367682621,2.259999999999998,3.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205928.json
5,VERB,2025-08-04,2025-08-04 12:58:00,22.06,2025-08-04 13:05:00-04:00,24.285,take_profit,10.086128739800552,2.2250000000000014,7.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205934.json
6,VERB,2025-08-04,2025-08-04 12:49:00,19.96,2025-08-04 12:53:00-04:00,22.93,take_profit,14.87975951903807,2.969999999999999,4.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205927.json
7,VERB,2025-08-04,2025-08-04 13:08:00,24.65,2025-08-04 13:12:00-04:00,27.53,take_profit,11.683569979716035,2.8800000000000026,4.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205939.json
8,VERB,2025-08-04,2025-08-04 12:56:00,22.25,2025-08-04 13:06:00-04:00,24.87,take_profit,11.775280898876408,2.620000000000001,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205932.json
9,VERB,2025-08-04,2025-08-04 13:01:00,23.12,2025-08-04 13:11:00-04:00,25.63,take_profit,10.856401384083036,2.509999999999998,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205935.json
10,VERB,2025-08-04,2025-08-04 12:39:00,20.0,2025-08-04 12:53:00-04:00,22.93,take_profit,14.649999999999999,2.9299999999999997,14.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205925.json
11,VERB,2025-08-04,2025-08-04 12:41:00,20.19,2025-08-04 12:53:00-04:00,22.93,take_profit,13.571074789499743,2.7399999999999984,12.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205926.json
12,VERB,2025-08-04,2025-08-04 13:06:00,24.87,2025-08-04 13:12:00-04:00,27.53,take_profit,10.695617209489344,2.66,6.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205937.json
13,VERB,2025-08-04,2025-08-04 13:07:00,24.925,2025-08-04 13:12:00-04:00,27.53,take_profit,10.451354062186562,2.6050000000000004,5.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205938.json
14,VERB,2025-08-04,2025-08-04 13:12:00,27.53,2025-08-04 13:22:00-04:00,24.405,trailing_stop,-11.35125317835089,-3.125,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205940.json
15,VERB,2025-08-04,2025-08-04 12:54:00,22.15,2025-08-04 13:06:00-04:00,24.87,take_profit,12.279909706546286,2.7200000000000024,12.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205931.json
16,VERB,2025-08-04,2025-08-04 12:53:00,22.93,2025-08-04 13:11:00-04:00,25.63,take_profit,11.77496729175752,2.6999999999999993,18.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205930.json
17,VERB,2025-08-04,2025-08-04 12:51:00,21.09,2025-08-04 13:02:00-04:00,23.63,take_profit,12.043622569938355,2.539999999999999,11.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205929.json
18,VERB,2025-08-04,2025-08-04 13:02:00,23.63,2025-08-04 13:12:00-04:00,27.53,take_profit,16.504443504020323,3.900000000000002,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205936.json
19,VERB,2025-08-04,2025-08-04 12:57:00,22.25,2025-08-04 13:06:00-04:00,24.87,take_profit,11.775280898876408,2.620000000000001,9.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205933.json
20,VERB,2025-08-04,2025-08-04 12:50:00,20.67,2025-08-04 12:53:00-04:00,22.93,take_profit,10.933720367682621,2.259999999999998,3.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205928.json
21,VERB,2025-08-04,2025-08-04 12:58:00,22.06,2025-08-04 13:05:00-04:00,24.285,take_profit,10.086128739800552,2.2250000000000014,7.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205934.json
22,VERB,2025-08-04,2025-08-04 12:49:00,19.96,2025-08-04 12:53:00-04:00,22.93,take_profit,14.87975951903807,2.969999999999999,4.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205927.json
23,VERB,2025-08-04,2025-08-04 13:08:00,24.65,2025-08-04 13:12:00-04:00,27.53,take_profit,11.683569979716035,2.8800000000000026,4.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205939.json
24,VERB,2025-08-04,2025-08-04 12:56:00,22.25,2025-08-04 13:06:00-04:00,24.87,take_profit,11.775280898876408,2.620000000000001,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205932.json
25,VERB,2025-08-04,2025-08-04 13:01:00,23.12,2025-08-04 13:11:00-04:00,25.63,take_profit,10.856401384083036,2.509999999999998,10.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205935.json
26,VERB,2025-08-04,2025-08-04 12:39:00,20.0,2025-08-04 12:53:00-04:00,22.93,take_profit,14.649999999999999,2.9299999999999997,14.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205925.json
27,VERB,2025-08-04,2025-08-04 12:41:00,20.19,2025-08-04 12:53:00-04:00,22.93,take_profit,13.571074789499743,2.7399999999999984,12.0,20,0.75,10,12.5,runs/2025-08-04/VERB/run_2025-08-04_tf20_th0.75_20f96e0e/historical_data/2025-08-04/superduper_alerts_sent/bullish/green/superduper_alert_VERB_20250824_205926.json
