symbol,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
OPEN,4.02,7252483,-14.194236926360729,29154981.659999996,1.0099999999999998,2025-08-27T00:00:00-04:00,,10364037.8,1.092,False,
LCID,2.085,2194033,-1.4184397163120683,4574558.805,0.08000000000000007,2025-08-27T00:00:00-04:00,,2946056.2,0.085,False,
RR,3.285,1990656,3.6277602523659374,6539304.96,0.835,2025-08-27T00:00:00-04:00,,1124763.2,0.4620000000000001,False,
TLRY,1.375,1322547,-5.498281786941585,1818502.125,0.09499999999999997,2025-08-27T00:00:00-04:00,,1725626.4,0.12799999999999997,False,
IQ,2.355,1091518,0.856531049250536,2570524.89,0.08499999999999996,2025-08-27T00:00:00-04:00,,1020861.4,0.10700000000000012,False,
BITF,1.34,799630,3.4749034749034866,1071504.2,0.08000000000000007,2025-08-27T00:00:00-04:00,,493280.6,0.06899999999999999,False,
PSNY,1.31,754938,18.552036199095028,988968.78,0.30499999999999994,2025-08-27T00:00:00-04:00,,206189.0,0.07999999999999999,False,
HIVE,2.935,674553,3.1634446397187994,1979813.055,0.2200000000000002,2025-08-27T00:00:00-04:00,,604425.2,0.19700000000000015,False,
SKBL,0.8127,528757,57.805825242718434,429720.8139,0.5127999999999999,2025-08-27T00:00:00-04:00,,108654.6,0.11611999999999997,False,
FLNT,2.44,507523,8.444444444444441,1238356.1199999999,0.7200000000000002,2025-08-27T00:00:00-04:00,,101873.6,0.22600000000000003,False,
GRAB,4.95,481107,-0.8016032064128262,2381479.65,0.07999999999999918,2025-08-27T00:00:00-04:00,,857919.2,0.10199999999999979,False,
CGC,1.515,458848,3.0612244897959133,695154.72,0.125,2025-08-27T00:00:00-04:00,,532075.6,0.10900000000000003,False,
MNKD,4.53,386219,11.029411764705886,1749572.07,0.40500000000000025,2025-08-27T00:00:00-04:00,,283106.6,0.21100000000000002,False,
AKBA,3.0,347085,-2.9126213592232966,1041255.0,0.16000000000000014,2025-08-27T00:00:00-04:00,,233921.0,0.1370000000000001,False,
BTBT,2.73,316669,-2.4999999999999947,864506.37,0.08499999999999996,2025-08-27T00:00:00-04:00,,453473.0,0.12500000000000008,False,
IOVA,2.41,315486,-1.2295081967213035,760321.26,0.13500000000000023,2025-08-27T00:00:00-04:00,,378738.4,0.175,False,
NAMI,1.38,300442,33.98058252427183,414609.95999999996,0.94,2025-08-27T00:00:00-04:00,,60226.8,0.188,False,
NVDD,4.06,291043,0.12330456226880132,1181634.5799999998,0.0600000000000005,2025-08-27T00:00:00-04:00,,501922.6,0.08200000000000038,False,
PSEC,2.9,282807,1.7543859649122744,820140.2999999999,0.125,2025-08-27T00:00:00-04:00,,194621.0,0.07799999999999985,False,
GPRO,1.695,266462,-5.3072625698324005,451653.09,0.135,2025-08-27T00:00:00-04:00,,369214.4,0.21600000000000005,False,
ALT,3.66,251673,6.705539358600582,921123.18,0.23999999999999977,2025-08-27T00:00:00-04:00,,132832.2,0.1429999999999998,False,
GERN,1.4,247588,-3.7800687285223478,346623.19999999995,0.06000000000000005,2025-08-27T00:00:00-04:00,,268372.0,0.05799999999999996,False,
ABAT,2.61,243330,-4.744525547445268,635091.2999999999,0.18999999999999995,2025-08-27T00:00:00-04:00,,259597.8,0.21100000000000013,False,
CAN,0.75,239632,-0.5568814638027024,179724.0,0.01990000000000003,2025-08-27T00:00:00-04:00,,220731.2,0.03756000000000002,False,
ESPR,2.185,238807,-0.22831050228310015,521793.295,0.07000000000000028,2025-08-27T00:00:00-04:00,,205546.6,0.08999999999999994,False,
AREC,2.18,232608,4.306220095693795,507085.44000000006,0.3799999999999999,2025-08-27T00:00:00-04:00,,151143.0,0.317,False,
BTAI,3.965,230461,-24.18738049713194,913777.865,1.2099999999999995,2025-08-27T00:00:00-04:00,,75506.2,0.6929999999999997,False,
GOSS,2.46,219778,-2.3809523809523827,540653.88,0.18999999999999995,2025-08-27T00:00:00-04:00,,197070.8,0.1850000000000001,False,
ETHZ,2.985,218379,-4.326923076923085,651861.315,0.5500000000000003,2025-08-27T00:00:00-04:00,,381381.2,0.5550000000000003,False,
FFAI,2.39,204504,4.36681222707424,488764.56,0.14000000000000012,2025-08-27T00:00:00-04:00,,298789.6,0.17099999999999999,False,
GEVO,1.775,181788,0.8522727272727216,322673.7,0.0950000000000002,2025-08-27T00:00:00-04:00,,144043.4,0.09700000000000006,False,
GDRX,4.51,170188,3.917050691244238,767547.88,0.13999999999999968,2025-08-27T00:00:00-04:00,,182334.4,0.22200000000000025,False,
SNDL,2.54,169429,2.626262626262624,430349.66000000003,0.1599999999999997,2025-08-27T00:00:00-04:00,,128992.4,0.11099999999999995,False,
