Symbol,Side,Total Qty,Filled Qty,Limit Price,Stop Price,Order Type,TIF,Trading Hours,Order Status,Average Price,Filled Time
OCG,Buy,10,10,,11.60,Stop,Day,Regular Tr...,Filled,11.63,12/09/2025 14:46:16 EST
OCG,Sell,10,10,11.92,,Limit,Day,Regular Tr...,Filled,11.92,12/09/2025 14:46:44 EST
VOR,Sell,1,1,12.04,,Limit,Day,Include Ex...,Filled,12.14,12/09/2025 13:30:32 EST
VOR,Buy,1,1,12.28,,Limit,Day,Include Ex...,Filled,12.16,12/09/2025 13:30:20 EST
VOR,Sell,1,1,12.02,,Limit,Day,Include Ex...,Filled,12.13,12/09/2025 13:29:46 EST
VOR,Buy,1,1,12.25,,Limit,Day,Include Ex...,Filled,12.16,12/09/2025 13:29:34 EST
WWE,Sell,1,1,13.69,,Limit,Day,Include Ex...,Filled,13.83,12/08/2025 09:33:34 EST
WWE,Buy,1,1,14.30,,Limit,Day,Include Ex...,Filled,14.11,12/08/2025 09:33:14 EST
WWE,Sell,1,1,13.64,,Limit,Day,Include Ex...,Filled,13.69,12/08/2025 08:29:10 EST
WWE,Buy,1,1,14.20,,Limit,Day,Include Ex...,Filled,14.10,12/08/2025 08:28:19 EST
WWE,Sell,1,1,12.02,,Limit,Day,Include Ex...,Filled,12.11,12/08/2025 07:44:09 EST
WWE,Buy,1,1,12.01,,Limit,Day,Include Ex...,Filled,11.90,12/08/2025 07:43:58 EST
BDRX,Sell,1,1,13.88,,Limit,Day,Include Ex...,Filled,14.01,12/08/2025 06:50:05 EST
BDRX,Buy,1,1,13.50,,Limit,Day,Include Ex...,Filled,13.19,12/08/2025 06:49:48 EST
QCLS,Sell,1,1,6.97,,Limit,Day,Include Ex...,Filled,7.04,12/04/2025 10:11:02 EST
QCLS,Buy,1,1,7.16,,Limit,Day,Include Ex...,Filled,7.16,12/04/2025 10:11:01 EST
IRBT,Sell,2,2,3.220,,Limit,Day,Include Ex...,Filled,3.320,12/03/2025 11:25:03 EST
IRBT,Buy,1,1,3.550,,Limit,Day,Include Ex...,Filled,3.445,12/03/2025 11:24:43 EST
IRBT,Buy,1,1,3.600,,Limit,Day,Include Ex...,Filled,3.500,12/03/2025 11:23:16 EST
IRBT,Sell,1,1,2.560,,Limit,Day,Include Ex...,Filled,2.662,12/03/2025 09:48:45 EST
IRBT,Buy,1,1,2.760,,Limit,Day,Include Ex...,Filled,2.660,12/03/2025 09:48:23 EST
BQ,Sell,1,1,3.000,,Limit,Day,Include Ex...,Filled,3.175,12/02/2025 10:12:25 EST
BQ,Buy,1,1,3.150,,Limit,Day,Include Ex...,Filled,3.050,12/02/2025 10:11:59 EST
QTTB,Sell,1,1,4.430,,Limit,Day,Include Ex...,Filled,4.530,12/01/2025 09:41:04 EST
QTTB,Buy,1,1,4.930,,Limit,Day,Include Ex...,Filled,4.830,12/01/2025 09:38:31 EST
QTTB,Sell,1,1,4.500,,Limit,Day,Include Ex...,Filled,4.610,12/01/2025 08:43:32 EST
QTTB,Buy,1,1,4.840,,Limit,Day,Include Ex...,Filled,4.730,12/01/2025 08:42:20 EST
QTTB,Sell,1,1,4.590,,Limit,Day,Include Ex...,Filled,4.650,12/01/2025 08:34:29 EST
QTTB,Buy,1,1,4.700,,Limit,Day,Include Ex...,Filled,4.590,12/01/2025 08:33:35 EST
KTTA,Sell,1,1,1.100,,Limit,Day,Include Ex...,Filled,1.200,11/26/2025 10:26:51 EST
KTTA,Buy,1,1,1.320,,Limit,Day,Include Ex...,Filled,1.220,11/26/2025 10:08:16 EST
CETY,Sell,1,1,2.300,,Limit,Day,Include Ex...,Filled,2.410,11/25/2025 09:49:27 EST
CETY,Buy,1,1,2.260,,Limit,Day,Include Ex...,Filled,2.155,11/25/2025 09:47:08 EST
CETY,Sell,1,1,1.450,,Limit,Day,Include Ex...,Filled,1.550,11/25/2025 09:36:02 EST
CETY,Buy,1,1,1.790,,Limit,Day,Include Ex...,Filled,1.690,11/25/2025 09:31:50 EST
INHD,Sell,1,1,1.830,,Limit,Day,Include Ex...,Filled,1.940,11/24/2025 11:12:39 EST
INHD,Buy,1,1,2.070,,Limit,Day,Include Ex...,Filled,1.970,11/24/2025 11:04:52 EST
INHD,Sell,1,1,1.850,,Limit,Day,Include Ex...,Filled,1.930,11/24/2025 11:01:13 EST
INHD,Buy,1,1,1.930,,Limit,Day,Include Ex...,Filled,1.830,11/24/2025 10:58:04 EST
ENLV,Sell,1,1,1.580,,Limit,Day,Include Ex...,Filled,1.670,11/24/2025 08:53:00 EST
ENLV,Buy,1,1,1.850,,Limit,Day,Include Ex...,Filled,1.750,11/24/2025 08:49:25 EST
ENLV,Sell,1,1,1.670,,Limit,Day,Include Ex...,Filled,1.770,11/24/2025 08:46:39 EST
ENLV,Buy,1,1,1.790,,Limit,Day,Include Ex...,Filled,1.690,11/24/2025 08:45:20 EST
ENLV,Sell,1,1,1.550,,Limit,Day,Include Ex...,Filled,1.650,11/24/2025 08:42:41 EST
ENLV,Buy,1,1,1.800,,Limit,Day,Include Ex...,Filled,1.700,11/24/2025 08:41:41 EST
ENLV,Sell,1,1,1.590,,Limit,Day,Include Ex...,Filled,1.690,11/24/2025 08:40:12 EST
ENLV,Buy,1,1,1.780,,Limit,Day,Include Ex...,Filled,1.670,11/24/2025 08:39:55 EST
MNDR,Sell,1,1,4.690,,Limit,Day,Include Ex...,Filled,4.800,11/21/2025 15:36:10 EST
MNDR,Buy,1,1,5.05,,Limit,Day,Include Ex...,Filled,4.875,11/21/2025 15:35:16 EST
MNDR,Sell,2,2,4.500,,Limit,Day,Include Ex...,Filled,4.650,11/21/2025 15:22:37 EST
MNDR,Buy,1,1,5.30,,Limit,Day,Include Ex...,Filled,5.18,11/21/2025 15:16:32 EST
MNDR,Buy,1,1,5.38,,Limit,Day,Include Ex...,Filled,5.28,11/21/2025 15:15:14 EST
MNDR,Sell,1,1,5.17,,Limit,Day,Include Ex...,Filled,5.29,11/21/2025 15:14:21 EST
MNDR,Buy,1,1,5.20,,Limit,Day,Include Ex...,Filled,5.11,11/21/2025 15:13:24 EST
MNDR,Sell,1,1,4.900,,Limit,Day,Include Ex...,Filled,5.02,11/21/2025 15:12:18 EST
MNDR,Buy,1,1,5.18,,Limit,Day,Include Ex...,Filled,5.07,11/21/2025 15:12:01 EST
MNDR,Sell,1,1,4.600,,Limit,Day,Include Ex...,Filled,4.755,11/21/2025 15:09:10 EST
MNDR,Buy,1,1,4.910,,Limit,Day,Include Ex...,Filled,4.790,11/21/2025 15:08:25 EST
MNDR,Sell,1,1,4.690,,Limit,Day,Include Ex...,Filled,4.780,11/21/2025 15:06:16 EST
MNDR,Buy,1,1,4.830,,Limit,Day,Include Ex...,Filled,4.730,11/21/2025 15:04:48 EST
FOXX,Sell,1,1,4.510,,Limit,Day,Include Ex...,Filled,4.640,11/21/2025 14:52:37 EST
FOXX,Buy,1,1,4.700,,Limit,Day,Include Ex...,Filled,4.570,11/21/2025 14:52:28 EST
DVLT,Sell,1,1,2.300,,Limit,Day,Include Ex...,Filled,2.405,11/21/2025 12:30:12 EST
DVLT,Buy,1,1,2.470,,Limit,Day,Include Ex...,Filled,2.365,11/21/2025 12:27:06 EST
NNOX,Sell,1,1,4.290,,Limit,Day,Include Ex...,Filled,4.390,11/21/2025 12:18:22 EST
NNOX,Buy,1,1,4.500,,Limit,Day,Include Ex...,Filled,4.400,11/21/2025 12:16:14 EST
NNOX,Sell,1,1,4.290,,Limit,Day,Include Ex...,Filled,4.390,11/21/2025 12:15:39 EST
OLMA,Sell,1,1,32.31,,Limit,Day,Include Ex...,Filled,32.50,11/18/2025 08:22:16 EST
OLMA,Buy,1,1,36.10,,Limit,Day,Include Ex...,Filled,35.99,11/18/2025 08:17:29 EST
OLMA,Sell,1,1,31.05,,Limit,Day,Include Ex...,Filled,31.15,11/18/2025 08:11:03 EST
OLMA,Buy,1,1,30.54,,Limit,Day,Include Ex...,Filled,30.26,11/18/2025 08:10:15 EST
OLMA,Sell,2,2,25.60,,Limit,Day,Include Ex...,Filled,25.77,11/18/2025 07:53:54 EST
OLMA,Buy,1,1,26.83,,Limit,Day,Include Ex...,Filled,26.75,11/18/2025 07:52:17 EST
OLMA,Buy,1,1,27.10,,Limit,Day,Include Ex...,Filled,27.00,11/18/2025 07:50:42 EST
OLMA,Sell,2,2,27.39,,Limit,Day,Include Ex...,Filled,27.49,11/18/2025 07:45:13 EST
OLMA,Buy,1,1,25.09,,Limit,Day,Include Ex...,Filled,25.00,11/18/2025 07:40:33 EST
OLMA,Buy,1,1,25.09,,Limit,Day,Include Ex...,Filled,25.00,11/18/2025 07:39:04 EST
OLMA,Sell,2,2,21.66,,Limit,Day,Include Ex...,Filled,21.80,11/18/2025 07:11:16 EST
OLMA,Buy,1,1,22.84,,Limit,Day,Include Ex...,Filled,22.77,11/18/2025 07:07:50 EST
OLMA,Buy,1,1,23.08,,Limit,Day,Include Ex...,Filled,23.01,11/18/2025 07:07:19 EST
GTBP,Sell,1,1,0.9500,,Limit,Day,Include Ex...,Filled,1.060,11/14/2025 15:51:01 EST
GTBP,Buy,1,1,1.170,,Limit,Day,Include Ex...,Filled,1.065,11/14/2025 15:47:47 EST
